subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8709,7555,1154,472,123,7432,682,0.01628060886829914,0.013662935016421055,0.019389942224329222,0.5909878682842288,0.5623651858770851,0.6190067959259271,0.7932773109243697,0.4090121317157712,0.5397369925671812,True,True
male,7282,6173,1109,465,126,6047,644,0.020411469301798154,0.017170803225138538,0.02424866018934585,0.5807033363390441,0.5514320071368191,0.609417499844787,0.7868020304568528,0.4192966636609558,0.5470588235294117,True,True
christian,6671,6068,603,194,62,6006,409,0.01021753460777851,0.007979017386822822,0.013075791057652636,0.6782752902155887,0.6399627903616197,0.7143307353606018,0.7578125,0.32172470978441126,0.4516880093131548,True,True
white,4216,3037,1179,509,107,2930,670,0.03523213697728021,0.029240143282186333,0.04239840209109922,0.5682782018659881,0.5398284189015148,0.5962844969921492,0.8262987012987013,0.43172179813401185,0.5671309192200558,True,True
muslim,3556,2724,832,320,81,2643,512,0.02973568281938326,0.0239894651317613,0.03680639171117671,0.6153846153846154,0.5818683737356266,0.6478402605679371,0.7980049875311721,0.38461538461538464,0.5190592051905921,True,True
black,2470,1692,778,336,76,1616,442,0.04491725768321513,0.036036509352470915,0.0558597336660645,0.5681233933161953,0.5330662504156981,0.6025111084006111,0.8155339805825242,0.4318766066838046,0.5647058823529412,True,True
homosexual_gay_or_lesbian,1851,1333,518,173,37,1296,345,0.0277569392348087,0.020203948011242874,0.03802394304276634,0.666023166023166,0.6243173637933483,0.7052846582244146,0.8238095238095238,0.333976833976834,0.4752747252747253,True,True
jewish,1214,1029,185,58,22,1007,127,0.021379980563654033,0.014160807501730438,0.03215942723721957,0.6864864864864865,0.6164169546186546,0.7489689115513152,0.725,0.31351351351351353,0.4377358490566038,True,True
psychiatric_or_mental_illness,792,628,164,96,22,606,68,0.03503184713375796,0.02324656166155177,0.05247094334356173,0.4146341463414634,0.3420300175034561,0.4911458843462022,0.8135593220338984,0.5853658536585366,0.6808510638297872,True,True
asian,772,674,98,41,11,663,57,0.016320474777448073,0.009137092973619578,0.028986067662870547,0.5816326530612245,0.48269880400178744,0.6744081363865095,0.7884615384615384,0.41836734693877553,0.5466666666666666,True,False
transgender,390,317,73,18,3,314,55,0.00946372239747634,0.0032236380379902594,0.0274502619525784,0.7534246575342466,0.6435555465577502,0.837955353519482,0.8571428571428571,0.2465753424657534,0.3829787234042553,True,False
latino,360,296,64,20,6,290,44,0.02027027027027027,0.009322358060511956,0.04351042524770746,0.6875,0.5660766429725185,0.7876893346051795,0.7692307692307693,0.3125,0.4444444444444445,True,False
atheist,255,220,35,12,2,218,23,0.00909090909090909,0.0024966057245408933,0.032534701085228615,0.6571428571428571,0.4915194951399626,0.7916830501295105,0.8571428571428571,0.34285714285714286,0.4897959183673469,True,False
heterosexual,207,155,52,12,1,154,40,0.0064516129032258064,0.001139777383142991,0.035635626620720826,0.7692307692307693,0.6386621744190017,0.8627573907450725,0.9230769230769231,0.23076923076923078,0.36923076923076925,True,False
buddhist,100,91,9,4,1,90,5,0.01098901098901099,0.0019424713318492194,0.059649356686506144,0.5555555555555556,0.26665129349549316,0.8112214789023353,0.8,0.4444444444444444,0.5714285714285714,False,False
hindu,81,76,5,3,1,75,2,0.013157894736842105,0.0023264800455790532,0.0708367475178441,0.4,0.11762077423264794,0.769275718723987,0.75,0.6,0.6666666666666665,False,False
other_race_or_ethnicity,77,59,18,6,0,59,12,0.0,0.0,0.061129370526788365,0.6666666666666666,0.437494672959451,0.8372122524916629,1.0,0.3333333333333333,0.5,False,False
other_religion,65,57,8,3,1,56,5,0.017543859649122806,0.003103664651408093,0.09290749178567684,0.625,0.3057423946026274,0.8631557141764026,0.75,0.375,0.5,False,False
bisexual,52,42,10,3,1,41,7,0.023809523809523808,0.004215404134432499,0.12321201573766641,0.7,0.39677814746114537,0.8922087325936989,0.75,0.3,0.4285714285714285,False,False
intellectual_or_learning_disability,24,21,3,2,0,21,1,0.0,0.0,0.15463901892484688,0.3333333333333333,0.06149194472039632,0.7923403991979523,1.0,0.6666666666666666,0.8,False,False
physical_disability,14,14,0,0,1,13,0,0.07142857142857142,0.012722215247890911,0.31468704424151117,,,,0.0,,,False,False
other_sexual_orientation,4,2,2,1,0,2,1,0.0,0.0,0.6576197724933468,0.5,0.09453120573423074,0.9054687942657693,1.0,0.5,0.6666666666666666,False,False
other_gender,2,2,0,0,0,2,0,0.0,0.0,0.6576197724933468,,,,,,,False,False
other_disability,1,0,1,1,0,0,0,,,,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
