subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8709,7555,1154,0.909293660470243,0.9203596313295181,0.9354652596378787,True
male,7282,6173,1109,0.9089653786224281,0.9123010668082077,0.9405466842588095,True
christian,6671,6068,603,0.9112839177000079,0.939210975252723,0.9146624652728483,True
white,4216,3037,1179,0.8551926578140173,0.8277016434983034,0.9567499926798584,True
muslim,3556,2724,832,0.860164809951429,0.8669109035650993,0.9425963402956946,True
black,2470,1692,778,0.842700337897379,0.810480664661651,0.9567670860743553,True
homosexual_gay_or_lesbian,1851,1333,518,0.8373490573415555,0.8285411023224754,0.9495009423161462,True
jewish,1214,1029,185,0.8600504294381845,0.8963237356897484,0.9209951976159791,True
psychiatric_or_mental_illness,792,628,164,0.9257806431567499,0.9048834407720205,0.9521453220486099,True
asian,772,674,98,0.9169896445224974,0.9255399421678647,0.932631875980229,False
transgender,390,317,73,0.8779223024069833,0.8642128488906317,0.9457167741649161,False
latino,360,296,64,0.8566828547297297,0.8827043125190048,0.9301310670911699,False
atheist,255,220,35,0.9261038961038961,0.9354562236286919,0.9302719197549137,False
heterosexual,207,155,52,0.8034739454094293,0.8541954241038123,0.926312848041132,False
buddhist,100,91,9,0.9609279609279608,0.93290710603457,0.9524159055676957,False
hindu,81,76,5,0.9184210526315789,0.9244406080212352,0.9358961431812454,False
other_race_or_ethnicity,77,59,18,0.884180790960452,0.9136208661215407,0.9201985073679573,False
other_religion,65,57,8,0.8135964912280702,0.8941409824653607,0.8996329211746522,False
bisexual,52,42,10,0.8738095238095238,0.8449111015151229,0.9555694586741463,False
intellectual_or_learning_disability,24,21,3,0.9841269841269841,0.9657863145258104,0.955014551152899,False
physical_disability,14,14,0,,0.9130041437758987,,False
other_sexual_orientation,4,2,2,0.75,0.7631941709334384,0.9812266066902768,False
other_gender,2,2,0,,0.8805945662160388,,False
other_disability,1,0,1,,,0.9987579933200181,False
