id,error_type,label,prob,any_identity,comment_text,counter_speech,negation,self_identification,quotation_or_report,question
433727,false_positive,0,0.9974,1,"Mein Trumpf
Vol. One: A Reckoning
1. The Hispanic Peril
2. The Arab Peril
3. The Black Peril
4. The Female Peril ...",0,0,0,0,0
5124709,false_positive,0,0.9968,1,"What's wrong with these grown men spending all their productive time concocting  schemes to gain support for new taxes.... how about a tax on stupid ideas, THAT will greatly benefit everybody.",0,0,0,0,0
7103999,false_positive,0,0.9968,1,... these are today's modern day super fakey 'christians' ... voted Cheetolini IN all one needs to know.  MORALLY BANKRUPT AND CORRUPT!,0,0,0,0,0
5938616,false_positive,0,0.9961,1,"Greetings.....how soon people forget!   in 1989 Trumpster took out a full page ad in a NYC  paper calling for the  return of DEATH PENALTY!  He called for the deaths of the"" Central Park Five""......five young black men f",0,1,0,1,0
378587,false_positive,0,0.9959,1,"1,600,000,000 muslims around the globe need to rise up and forever stamp out radical Islamic terrorists.  They should be able to accomplish this with sheer numbers.  They know who they are.  Muslims execute women and hom",0,1,0,0,1
6266350,false_positive,0,0.9954,1,It was only luck that kept the white power moron in Charlottesville from killing eight people when he rammed a car into a crowd. Ban white power gangs?,0,0,0,0,1
297872,false_positive,0,0.9948,1,"I did a little time in my young and stupid years. Trust me, he will be a marked man in prison. Pedi's and woman beaters are the bottom rung in the joint.",0,0,1,0,0
262760,false_positive,0,0.9943,1,"None of us care about your perversion, so long as you keep it out of our faces.  Why do the LGBT crowd have to keep pushing?
Islam hates everything LGBT and socialist, except the bennies.
Gee, lets all be Europe and FAIL",0,0,1,0,0
446431,false_positive,0,0.9941,1,And 100 % of the people who agree they need a safe house belong instead in a psych ward. Biggest buncha mental case losers ever.,0,0,0,0,0
6149907,false_positive,0,0.9939,1,Just because he doesn't like the black president he needs to go out and destroy other people's lives.,0,1,0,0,0
5722358,false_positive,0,0.9938,1,"18 years old and threw away his life. Shame. Where is all the ""lets deport him people"" since only illegal people commit murder? Where are yall at? This is probably a white male. Deport him!",0,0,0,1,0
6067796,false_positive,0,0.9935,1,"Do you not think the black people have not been victims of some of their own life choices?   I know Bill Cosby is currently persona non grata to the world, but in  the past he had some things to say that the black commun",0,1,1,1,0
6165697,false_positive,0,0.9929,1,A real man with fake arse hair!,0,0,0,0,0
6063831,false_positive,0,0.9922,1,"I tell you what we really need.

We need to be vigilant and look out for radical islamic terrorism, the forced marriages, the forced genital mutilation, the misogamy, and if you are gay watch out as you will be thrown of",0,0,0,0,0
6046763,false_positive,0,0.9922,1,"Yes, they really did hate America because the President was Black. And their answer was to elect an ignorant, whinny, narcissistic, bigoted, misogynist, racist, adulterous, lying, money laundering thief. As opposed to Ob",0,1,0,0,0
5954336,false_negative,1,0.0001,1,"You've got one heck of a conspiracy theory going. I found the following in the NY Times: Merkel Is Its Leader, but Germany Has a Woman Problem
By KATRIN BENNHOLD
Chancellor Angela Merkel has led Germany 

What do you mak",0,0,0,0,1
533495,false_negative,1,0.0001,1,"Why should anyone accept your assessment of what's happening in the Episcopal Church USA?   It's remarkably inaccurate.  The Roman Catholic church has by no means avoided ""that disaster!""",0,0,0,1,0
5205422,false_negative,1,0.0001,1,"My question is: do we (do you) support clericalism when its advantageous? 

Call to holiness is rooted in baptism and has nothing to do with ordination. Ordination has a very limited purpose: to ordain for presidency, 'i",0,1,1,0,0
371513,false_negative,1,0.0001,1,"I know how to test it. Find a big open space, put a chair in the middle with the C4 underneath, set the guy on the chair and touch it off, two results, either years in prison or case closed.",0,0,0,0,0
507212,false_negative,1,0.0001,1,"Why is it that you know nothing about what is going on in the native Hawaiian community?  Did you ever hear about Koho Pono, the Native Hawaiian voter education campaign that have distributed thousands of legislative rep",0,1,0,1,0
357658,false_negative,1,0.0001,1,The states is not going to miss a opportunity to steal money from the man.,0,1,0,0,0
6071473,false_negative,1,0.0002,1,"They have been very busy trying to 5th column western governments for quite a while now - including our own.

It's an attack. It's an act of war. 

Russia is not our friend and we should be taking very serious measures t",0,1,1,0,0
327490,false_negative,1,0.0002,1,"He showed her the bat and she fell backwards onto her cellphone and was injured.
Righto!
Johns made a race-related comment.
He (a male) also felt a need to threaten a woman with a bat?",0,0,0,0,1
5369568,false_negative,1,0.0002,1,Fortunately I am not catholic.,0,1,1,0,0
5836948,false_negative,1,0.0002,1,"I hope the court is easy on this guy.  He probably saved the bengal cub's life.  If a Chinese tourist bought the cub, it would be shipped back to China in pieces.",0,0,0,0,0
5203031,false_negative,1,0.0002,1,"As I said, the woman's life does not matter.  I certainly will not waste my time researching her trial.  I suspect that you might be reacting, like the jury, to ideas in your head that you projected on the situation, but",0,1,1,1,0
5497355,false_negative,1,0.0002,1,"Men who like other men, those are not men.",0,1,0,0,0
6260716,false_negative,1,0.0002,1,Apparently everything that is wrong with the world is the fault of pc/swjs and liberal women.  SMDH.,0,0,0,0,0
899361,false_negative,1,0.0002,1,"We already have all that diversity, more than pretty much any other society in the world, how much is enough? 

Are you saying all those other societies that are pretty much homogeneous, from Japan to China to Indonesia ",0,1,1,1,1
5772790,false_negative,1,0.0002,1,"Remember your history!
Slavery was brought to the Americas by white Europeans, the English, Dutch, French, Spanish and Portuguese.",0,0,0,0,0
