subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8765,7565,1200,0.8780833884115445,0.8860283525023356,0.9102755562391059,True
male,7296,6187,1109,0.8847371586748619,0.870321349184418,0.9243638483407269,True
christian,6738,6130,608,0.8971202348244183,0.9194382144302253,0.8881545714766796,True
white,4146,2986,1160,0.8080623368824629,0.7195552719731353,0.955322390487767,True
muslim,3480,2676,804,0.8280735243810842,0.7851370898845969,0.9389111467528364,True
black,2427,1669,758,0.7930530502678836,0.7002971528535171,0.9539638956349384,True
homosexual_gay_or_lesbian,1759,1274,485,0.8063312240042726,0.752896338712751,0.9397783223142205,True
jewish,1290,1091,199,0.8704890170375249,0.8444202875277016,0.930134773714701,True
psychiatric_or_mental_illness,785,643,142,0.8633441394869997,0.8260931241499333,0.9339738249647874,True
asian,750,647,103,0.8789784066865743,0.9015871755916075,0.8920775618340213,True
transgender,413,330,83,0.8362175976633808,0.8397900180145403,0.9156561436714098,False
latino,325,257,68,0.8651293202105745,0.8715113364014455,0.9054261344481154,False
atheist,258,216,42,0.8932980599647266,0.9064255128825538,0.9000794118708715,False
heterosexual,219,171,48,0.7877680311890838,0.8033501179091347,0.9029591328620321,False
buddhist,131,117,14,0.9084249084249084,0.8578757789803154,0.9516454133112952,False
hindu,111,99,12,0.8476430976430975,0.8252579694672504,0.9368016094504781,False
other_race_or_ethnicity,74,60,14,0.8869047619047619,0.8064321718167873,0.9502720528408941,False
other_religion,45,40,5,0.9299999999999999,0.8714801681113737,0.9505349255135117,False
bisexual,40,35,5,0.8914285714285715,0.8161319374085332,0.942666174050314,False
physical_disability,18,18,0,,0.8588397427483923,,False
intellectual_or_learning_disability,10,10,0,,0.9656122850767818,,False
other_gender,2,1,1,1.0,0.980309792596482,0.7502349781805975,False
other_sexual_orientation,1,1,0,,0.9545872161701011,,False
other_disability,1,1,0,,0.9996062475390471,,False
