subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8765,7565,1200,0.9049325842696629,0.9360574764256847,0.9096432748256947,True
male,7296,6187,1109,0.9112818800524618,0.926890583968119,0.9228444089843293,True
christian,6738,6130,608,0.917851700008586,0.9490830070574252,0.8973914961711119,True
white,4146,2986,1160,0.8483546781532207,0.8443640379053324,0.942227479885819,True
muslim,3480,2676,804,0.8627708802772386,0.8835329556383911,0.925793381742548,True
black,2427,1669,758,0.8280620851125047,0.830839142646731,0.938972630569318,True
homosexual_gay_or_lesbian,1759,1274,485,0.8390441664373918,0.8564227334202104,0.9288107438427139,True
jewish,1290,1091,199,0.8939403709657361,0.9165322251896798,0.9170852123500044,True
psychiatric_or_mental_illness,785,643,142,0.8984185048080082,0.8949689363607755,0.934553331048765,True
asian,750,647,103,0.8835401629627406,0.9273147733058705,0.8977134533578948,True
transgender,413,330,83,0.8339174881343556,0.8932885784597568,0.8998488765275274,False
latino,325,257,68,0.8879892423895629,0.9124163212850412,0.9163111497380289,False
atheist,258,216,42,0.9184303350970018,0.9302473005538202,0.9214618602431287,False
heterosexual,219,171,48,0.8271198830409358,0.8930186051577232,0.896156125511979,False
buddhist,131,117,14,0.9395604395604396,0.9285647656456336,0.9258254694316851,False
hindu,111,99,12,0.9175084175084175,0.907533996465244,0.9326182710736021,False
other_race_or_ethnicity,74,60,14,0.8946428571428571,0.8757878588647817,0.9452150141486677,False
other_religion,45,40,5,0.92,0.9351819017599159,0.911032733746494,False
bisexual,40,35,5,0.897142857142857,0.8909321175278623,0.9396063547509488,False
physical_disability,18,18,0,,0.9433178749033847,,False
intellectual_or_learning_disability,10,10,0,,0.9520278251739075,,False
other_gender,2,1,1,1.0,0.9969808348647939,0.8146273917421955,False
other_sexual_orientation,1,1,0,,0.9350308439427747,,False
other_disability,1,1,0,,0.9889749310933194,,False
