subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8709,7555,1154,533,197,7358,621,0.026075446724023826,0.02271571557906758,0.0299168817558637,0.5381282495667244,0.5092852587466062,0.5667182383898942,0.7301369863013699,0.46187175043327555,0.5658174097664543,True,True
male,7282,6173,1109,516,181,5992,593,0.029321237647821158,0.02539658203629056,0.03383133586635575,0.5347159603246168,0.5052901783645004,0.5639020676555201,0.7403156384505022,0.46528403967538323,0.5714285714285714,True,True
christian,6671,6068,603,228,110,5958,375,0.01812788398154252,0.015063184542431378,0.02180231340226789,0.6218905472636815,0.5825299916554251,0.6597079073267448,0.6745562130177515,0.3781094527363184,0.4845908607863975,True,True
white,4216,3037,1179,645,262,2775,534,0.08626934474810669,0.07679929262637997,0.09678471889436627,0.4529262086513995,0.42471114736882454,0.4814470286299538,0.7111356119073869,0.5470737913486005,0.6184084372003834,True,True
muslim,3556,2724,832,361,128,2596,471,0.04698972099853157,0.03966083778650349,0.05559449971871548,0.5661057692307693,0.5322015392536347,0.5994023658161155,0.7382413087934561,0.4338942307692308,0.546555639666919,True,True
black,2470,1692,778,448,181,1511,330,0.10697399527186761,0.09312689807056215,0.1226016754454457,0.4241645244215938,0.38989295394203694,0.45918130699829784,0.712241653418124,0.5758354755784062,0.6368159203980099,True,True
homosexual_gay_or_lesbian,1851,1333,518,249,115,1218,269,0.08627156789197299,0.07236306135064202,0.10255779951716748,0.5193050193050193,0.4762954985747002,0.562030317938993,0.6840659340659341,0.4806949806949807,0.564625850340136,True,True
jewish,1214,1029,185,70,36,993,115,0.03498542274052478,0.02537649994541215,0.048053413399943345,0.6216216216216216,0.549932083378761,0.6883630467320888,0.660377358490566,0.3783783783783784,0.48109965635738833,True,True
psychiatric_or_mental_illness,792,628,164,109,42,586,55,0.06687898089171974,0.049856469358796424,0.0891680558514463,0.3353658536585366,0.2676097519589755,0.41065805875107986,0.7218543046357616,0.6646341463414634,0.6920634920634922,True,True
asian,772,674,98,53,24,650,45,0.03560830860534125,0.02404363443127578,0.052436578081673325,0.45918367346938777,0.36392694572948114,0.5575195840763703,0.6883116883116883,0.5408163265306123,0.6057142857142858,True,False
transgender,390,317,73,29,10,307,44,0.031545741324921134,0.017223603980525658,0.05708555453136787,0.6027397260273972,0.4880741402294003,0.7071329814235315,0.7435897435897436,0.3972602739726027,0.5178571428571428,True,False
latino,360,296,64,29,9,287,35,0.030405405405405407,0.016077288170749313,0.05676607013800067,0.546875,0.42573597220054127,0.6627055221938832,0.7631578947368421,0.453125,0.5686274509803922,True,False
atheist,255,220,35,15,2,218,20,0.00909090909090909,0.0024966057245408933,0.032534701085228615,0.5714285714285714,0.4085741114397492,0.7201543182281931,0.8823529411764706,0.42857142857142855,0.5769230769230769,True,False
heterosexual,207,155,52,18,11,144,34,0.07096774193548387,0.040086364784580567,0.12260075111420303,0.6538461538461539,0.5180355424727014,0.7684899233353408,0.6206896551724138,0.34615384615384615,0.4444444444444444,True,False
buddhist,100,91,9,4,2,89,5,0.02197802197802198,0.006048006082981144,0.07663164602484938,0.5555555555555556,0.26665129349549316,0.8112214789023353,0.6666666666666666,0.4444444444444444,0.5333333333333333,False,False
hindu,81,76,5,3,2,74,2,0.02631578947368421,0.007246659075128337,0.0909662109865807,0.4,0.11762077423264794,0.769275718723987,0.6,0.6,0.6,False,False
other_race_or_ethnicity,77,59,18,6,2,57,12,0.03389830508474576,0.00934590909166131,0.11543570750110749,0.6666666666666666,0.437494672959451,0.8372122524916629,0.75,0.3333333333333333,0.46153846153846156,False,False
other_religion,65,57,8,3,3,54,5,0.05263157894736842,0.01806029563366167,0.14369550397163527,0.625,0.3057423946026274,0.8631557141764026,0.5,0.375,0.42857142857142855,False,False
bisexual,52,42,10,7,5,37,3,0.11904761904761904,0.051938033277582354,0.25000390262009675,0.3,0.10779126740630104,0.6032218525388545,0.5833333333333334,0.7,0.6363636363636365,False,False
intellectual_or_learning_disability,24,21,3,1,0,21,2,0.0,0.0,0.15463901892484688,0.6666666666666666,0.20765960080204782,0.9385080552796038,1.0,0.3333333333333333,0.5,False,False
physical_disability,14,14,0,0,0,14,0,0.0,0.0,0.21531080273763575,,,,,,,False,False
other_sexual_orientation,4,2,2,2,0,2,0,0.0,0.0,0.6576197724933468,0.0,0.0,0.6576197724933468,1.0,1.0,1.0,False,False
other_gender,2,2,0,0,0,2,0,0.0,0.0,0.6576197724933468,,,,,,,False,False
other_disability,1,0,1,1,0,0,0,,,,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
