subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8709,7555,1154,0.8997473753995828,0.9233993150513149,0.9171230692479383,True
male,7282,6173,1109,0.9008670499544468,0.9165441620176862,0.9239084049238191,True
christian,6671,6068,603,0.909568150239792,0.9405489566554345,0.9008746623121816,True
white,4216,3037,1179,0.8463627698308366,0.8403468505410495,0.9443926034408026,True
muslim,3556,2724,832,0.8500230324466282,0.868644831929055,0.9293373574865958,True
black,2470,1692,778,0.8402770181164044,0.822082031818306,0.9462290676763229,True
homosexual_gay_or_lesbian,1851,1333,518,0.8267761921175274,0.8352277127160962,0.9379502449650782,True
jewish,1214,1029,185,0.8418695663593623,0.8983303148693276,0.8968642334095265,True
psychiatric_or_mental_illness,792,628,164,0.9103231318937395,0.8901193786925374,0.9465033224068947,True
asian,772,674,98,0.9006767395385454,0.9212926851304973,0.9162189414445392,False
transgender,390,317,73,0.8521671492156777,0.8630839160196014,0.9287357567901416,False
latino,360,296,64,0.8636243665540541,0.8917217432521868,0.9200564539934216,False
atheist,255,220,35,0.9116233766233766,0.9344412279439969,0.9129365841449533,False
heterosexual,207,155,52,0.7992555831265509,0.8502538612054891,0.9175027636181003,False
buddhist,100,91,9,0.912087912087912,0.9338348904708957,0.9103854989634111,False
hindu,81,76,5,0.9078947368421053,0.9213965271729362,0.9286379295857491,False
other_race_or_ethnicity,77,59,18,0.8851224105461394,0.9121714582603984,0.9161561178126483,False
other_religion,65,57,8,0.8267543859649124,0.8784135150647608,0.9022306128620388,False
bisexual,52,42,10,0.8666666666666667,0.8446357383799885,0.9519306672937067,False
intellectual_or_learning_disability,24,21,3,0.9841269841269841,0.9652767356942776,0.9502910230579807,False
physical_disability,14,14,0,,0.9279479871749198,,False
other_sexual_orientation,4,2,2,1.0,0.790862544308783,0.9887670152234848,False
other_gender,2,2,0,,0.843417771361071,,False
other_disability,1,0,1,,,0.9984139239019151,False
