model,subgroup,policy,n_nontoxic_val,threshold,val_fpr_before,val_fpr_after,fitted
baseline,male,equalize,4225,0.5888891220092773,0.04260355029585799,0.028402366863905324,True
baseline,female,equalize,5028,0.5279554128646851,0.0332140015910899,0.028440731901352427,True
baseline,transgender,equalize,207,0.7429815530776978,0.06280193236714976,0.024154589371980676,True
baseline,other_gender,equalize,1,,,,False
baseline,heterosexual,equalize,112,0.9692078232765198,0.11607142857142858,0.026785714285714284,True
baseline,homosexual_gay_or_lesbian,equalize,894,0.7937461733818054,0.12304250559284116,0.02796420581655481,True
baseline,bisexual,equalize,16,,,,False
baseline,other_sexual_orientation,equalize,1,,,,False
baseline,christian,equalize,4043,0.4374029040336609,0.020281968835023496,0.028444224585703684,True
baseline,jewish,equalize,704,0.5344606637954712,0.03551136363636364,0.028409090909090908,True
baseline,muslim,equalize,1761,0.643105149269104,0.06700738216922203,0.028392958546280524,True
baseline,hindu,equalize,58,,,,False
baseline,buddhist,equalize,59,,,,False
baseline,atheist,equalize,159,0.8289388418197632,0.0440251572327044,0.025157232704402517,True
baseline,other_religion,equalize,24,,,,False
baseline,black,equalize,1110,0.6523521542549133,0.07927927927927927,0.027927927927927927,True
baseline,white,equalize,1930,0.7099249362945557,0.07823834196891191,0.02849740932642487,True
baseline,asian,equalize,458,0.4072155356407165,0.013100436681222707,0.028384279475982533,True
baseline,latino,equalize,175,0.7275885343551636,0.05142857142857143,0.022857142857142857,True
baseline,other_race_or_ethnicity,equalize,43,,,,False
baseline,physical_disability,equalize,11,,,,False
baseline,intellectual_or_learning_disability,equalize,12,,,,False
baseline,psychiatric_or_mental_illness,equalize,436,0.7299049496650696,0.08027522935779817,0.027522935779816515,True
baseline,other_disability,equalize,1,,,,False
baseline,male,cap,4225,0.5888891220092773,0.04260355029585799,0.028402366863905324,True
baseline,female,cap,5028,0.5279554128646851,0.0332140015910899,0.028440731901352427,True
baseline,transgender,cap,207,0.7429815530776978,0.06280193236714976,0.024154589371980676,True
baseline,other_gender,cap,1,,,,False
baseline,heterosexual,cap,112,0.9692078232765198,0.11607142857142858,0.026785714285714284,True
baseline,homosexual_gay_or_lesbian,cap,894,0.7937461733818054,0.12304250559284116,0.02796420581655481,True
baseline,bisexual,cap,16,,,,False
baseline,other_sexual_orientation,cap,1,,,,False
baseline,christian,cap,4043,0.5,0.020281968835023496,0.020281968835023496,True
baseline,jewish,cap,704,0.5344606637954712,0.03551136363636364,0.028409090909090908,True
baseline,muslim,cap,1761,0.643105149269104,0.06700738216922203,0.028392958546280524,True
baseline,hindu,cap,58,,,,False
baseline,buddhist,cap,59,,,,False
baseline,atheist,cap,159,0.8289388418197632,0.0440251572327044,0.025157232704402517,True
baseline,other_religion,cap,24,,,,False
baseline,black,cap,1110,0.6523521542549133,0.07927927927927927,0.027927927927927927,True
baseline,white,cap,1930,0.7099249362945557,0.07823834196891191,0.02849740932642487,True
baseline,asian,cap,458,0.5,0.013100436681222707,0.013100436681222707,True
baseline,latino,cap,175,0.7275885343551636,0.05142857142857143,0.022857142857142857,True
baseline,other_race_or_ethnicity,cap,43,,,,False
baseline,physical_disability,cap,11,,,,False
baseline,intellectual_or_learning_disability,cap,12,,,,False
baseline,psychiatric_or_mental_illness,cap,436,0.7299049496650696,0.08027522935779817,0.027522935779816515,True
baseline,other_disability,cap,1,,,,False
mitigated,male,equalize,4225,0.6413100361824036,0.054437869822485205,0.03479289940828403,True
mitigated,female,equalize,5028,0.5492175221443176,0.03937947494033413,0.034805091487669054,True
mitigated,transgender,equalize,207,0.5453765392303467,0.033816425120772944,0.033816425120772944,True
mitigated,other_gender,equalize,1,,,,False
mitigated,heterosexual,equalize,112,0.9475754499435424,0.16964285714285715,0.026785714285714284,True
mitigated,homosexual_gay_or_lesbian,equalize,894,0.8445372581481934,0.11968680089485459,0.03467561521252797,True
mitigated,bisexual,equalize,16,,,,False
mitigated,other_sexual_orientation,equalize,1,,,,False
mitigated,christian,equalize,4043,0.4837551116943359,0.0328963640860747,0.034875092752906255,True
mitigated,jewish,equalize,704,0.6893056035041809,0.056818181818181816,0.03409090909090909,True
mitigated,muslim,equalize,1761,0.7767922878265381,0.08347529812606473,0.034639409426462237,True
mitigated,hindu,equalize,58,,,,False
mitigated,buddhist,equalize,59,,,,False
mitigated,atheist,equalize,159,0.8868131041526794,0.05660377358490566,0.031446540880503145,True
mitigated,other_religion,equalize,24,,,,False
mitigated,black,equalize,1110,0.7872777581214905,0.11621621621621622,0.03423423423423423,True
mitigated,white,equalize,1930,0.822474479675293,0.1316062176165803,0.03471502590673575,True
mitigated,asian,equalize,458,0.6104534864425659,0.048034934497816595,0.034934497816593885,True
mitigated,latino,equalize,175,0.7525585293769836,0.06857142857142857,0.03428571428571429,True
mitigated,other_race_or_ethnicity,equalize,43,,,,False
mitigated,physical_disability,equalize,11,,,,False
mitigated,intellectual_or_learning_disability,equalize,12,,,,False
mitigated,psychiatric_or_mental_illness,equalize,436,0.7828285694122314,0.05963302752293578,0.034403669724770644,True
mitigated,other_disability,equalize,1,,,,False
mitigated,male,cap,4225,0.6413100361824036,0.054437869822485205,0.03479289940828403,True
mitigated,female,cap,5028,0.5492175221443176,0.03937947494033413,0.034805091487669054,True
mitigated,transgender,cap,207,0.5453765392303467,0.033816425120772944,0.033816425120772944,True
mitigated,other_gender,cap,1,,,,False
mitigated,heterosexual,cap,112,0.9475754499435424,0.16964285714285715,0.026785714285714284,True
mitigated,homosexual_gay_or_lesbian,cap,894,0.8445372581481934,0.11968680089485459,0.03467561521252797,True
mitigated,bisexual,cap,16,,,,False
mitigated,other_sexual_orientation,cap,1,,,,False
mitigated,christian,cap,4043,0.5,0.0328963640860747,0.0328963640860747,True
mitigated,jewish,cap,704,0.6893056035041809,0.056818181818181816,0.03409090909090909,True
mitigated,muslim,cap,1761,0.7767922878265381,0.08347529812606473,0.034639409426462237,True
mitigated,hindu,cap,58,,,,False
mitigated,buddhist,cap,59,,,,False
mitigated,atheist,cap,159,0.8868131041526794,0.05660377358490566,0.031446540880503145,True
mitigated,other_religion,cap,24,,,,False
mitigated,black,cap,1110,0.7872777581214905,0.11621621621621622,0.03423423423423423,True
mitigated,white,cap,1930,0.822474479675293,0.1316062176165803,0.03471502590673575,True
mitigated,asian,cap,458,0.6104534864425659,0.048034934497816595,0.034934497816593885,True
mitigated,latino,cap,175,0.7525585293769836,0.06857142857142857,0.03428571428571429,True
mitigated,other_race_or_ethnicity,cap,43,,,,False
mitigated,physical_disability,cap,11,,,,False
mitigated,intellectual_or_learning_disability,cap,12,,,,False
mitigated,psychiatric_or_mental_illness,cap,436,0.7828285694122314,0.05963302752293578,0.034403669724770644,True
mitigated,other_disability,cap,1,,,,False
