subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8953,7736,1217,0.9060255905863079,0.9102204500306426,0.9363204492120776,True
male,7242,6148,1094,0.9119491155994904,0.9022169375082574,0.9444999480119151,True
christian,6740,6091,649,0.9089228114227488,0.9294361792111842,0.9186714622867744,True
white,4096,2939,1157,0.8419749542924512,0.8020381987653841,0.9572892912427557,True
muslim,3488,2680,808,0.8576446357322299,0.8542004593096768,0.9433979239780886,True
black,2448,1640,808,0.8278035196812363,0.8044414344084712,0.950841103984063,True
homosexual_gay_or_lesbian,1743,1250,493,0.8467399594320486,0.8180456357002526,0.9520358096271113,True
jewish,1277,1072,205,0.8371655442300692,0.8862283789442322,0.9111523388730272,True
psychiatric_or_mental_illness,834,677,157,0.894434043033616,0.8871736938350766,0.9390820841165719,True
asian,747,654,93,0.9066538423596726,0.9067314857931851,0.9356577693815075,False
transgender,401,318,83,0.8265893763734181,0.8814188749349037,0.9078950498177513,False
latino,305,242,63,0.8829529056801785,0.8637233176852505,0.9431037485184,False
atheist,261,222,39,0.9279279279279279,0.9055206921961539,0.9483356594662378,False
heterosexual,207,160,47,0.7956781914893617,0.8196765220549392,0.9298856303756785,False
hindu,91,77,14,0.8840445269016698,0.9025179948256872,0.9202076451042907,False
buddhist,85,74,11,0.8943488943488944,0.8957214312103902,0.9340169300174005,False
other_race_or_ethnicity,70,50,20,0.9089999999999999,0.914240031583103,0.9207370949589291,False
bisexual,56,50,6,0.9333333333333333,0.8733941941415998,0.9676121124568153,False
other_religion,54,48,6,0.951388888888889,0.9261570121283769,0.9431757736605467,False
intellectual_or_learning_disability,19,17,2,1.0,0.9724185065912934,0.9730877711369282,False
physical_disability,8,8,0,,0.9271229820186376,,False
other_gender,2,1,1,1.0,0.9858230506694671,0.9664316884860692,False
other_sexual_orientation,2,1,1,0.0,0.72263061170911,0.9039862369922793,False
other_disability,1,0,1,,,0.9965509138819422,False
