subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8953,7736,1217,0.9086577475763465,0.9175117300307202,0.9361805102482568,True
male,7242,6148,1094,0.9170215132163491,0.9095813359856616,0.9463765912861675,True
christian,6740,6091,649,0.9158231637827818,0.9430184172287028,0.9119092144867594,True
white,4096,2939,1157,0.8497711902313331,0.8325762704760544,0.9526704776091919,True
muslim,3488,2680,808,0.8613939892123541,0.859111440667752,0.945539747600531,True
black,2448,1640,808,0.8368359092006762,0.8267422945665369,0.9490453416167113,True
homosexual_gay_or_lesbian,1743,1250,493,0.8495634888438133,0.8006448498456358,0.9609365423588256,True
jewish,1277,1072,205,0.8493401892974154,0.9075133042972351,0.9038434362193184,True
psychiatric_or_mental_illness,834,677,157,0.8937519404642063,0.8639642232609772,0.952843545062202,True
asian,747,654,93,0.8996662391897668,0.9280529841097244,0.9148432423496102,False
transgender,401,318,83,0.847901038114723,0.8569543340811067,0.9383145866628013,False
latino,305,242,63,0.8976780794962612,0.8897039843548338,0.9435780210397241,False
atheist,261,222,39,0.9331831831831832,0.9342886091896646,0.9366276731629921,False
heterosexual,207,160,47,0.8336436170212768,0.8289656794770206,0.9401352484095638,False
hindu,91,77,14,0.8970315398886828,0.9215015753477291,0.9194111800407175,False
buddhist,85,74,11,0.9299754299754299,0.9139792394918579,0.9452516663433026,False
other_race_or_ethnicity,70,50,20,0.89,0.9115607316752204,0.9265231560027549,False
bisexual,56,50,6,0.9166666666666666,0.8703362669118613,0.9720425772566674,False
other_religion,54,48,6,0.9618055555555556,0.9384427404877621,0.9438938627875856,False
intellectual_or_learning_disability,19,17,2,1.0,0.977890013823568,0.9594679672285273,False
physical_disability,8,8,0,,0.928821039506497,,False
other_gender,2,1,1,1.0,0.9786033079548437,0.9320829137294394,False
other_sexual_orientation,2,1,1,1.0,0.7061564715148333,0.9421030547163478,False
other_disability,1,0,1,,,0.9935046407411758,False
