subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8785,7600,1185,0.9059760715078835,0.9351350350931728,0.9104750299464338,True
male,7297,6188,1109,0.9087087460356966,0.9335742361460714,0.9133785635030459,True
christian,6739,6111,628,0.90835714963202,0.9492457176806863,0.8867772898428669,True
white,4206,3041,1165,0.8273869421200672,0.799273552738134,0.9543330028799543,True
muslim,3444,2623,821,0.8574414100320272,0.8840495965656513,0.9249979438660682,True
black,2486,1725,761,0.8232333504732523,0.7803572681434143,0.9565790874693287,True
homosexual_gay_or_lesbian,1803,1317,486,0.815141345682137,0.8201748937451679,0.9397732839709588,True
jewish,1287,1084,203,0.8910325741188446,0.9231366706870953,0.9078482909864183,True
psychiatric_or_mental_illness,777,608,169,0.9134469402055434,0.8794650741787355,0.9528914395385232,True
asian,730,649,81,0.9236527230877514,0.9081881384958225,0.9448922298392874,False
transgender,400,316,84,0.8499095840867994,0.8768378369297708,0.9196130776616729,False
latino,307,260,47,0.9173486088379705,0.8728272684790118,0.9577158101594391,False
atheist,266,233,33,0.8800234100663286,0.928726567689068,0.892207697382261,False
heterosexual,204,155,49,0.7669519420671493,0.84947458132697,0.8963088718811323,False
hindu,112,99,13,0.9588189588189588,0.9336428975529685,0.945024739222984,False
buddhist,101,91,10,0.9428571428571428,0.9394759531439778,0.91694486468314,False
other_race_or_ethnicity,91,69,22,0.9064558629776022,0.8766503940342584,0.9501540560192597,False
other_religion,46,39,7,0.9084249084249084,0.9468534837031946,0.8904638742400321,False
bisexual,40,31,9,0.7921146953405018,0.843641642999449,0.9231849986006156,False
intellectual_or_learning_disability,16,15,1,1.0,0.9553251072022402,0.962176409361045,False
physical_disability,10,8,2,0.6875,0.8149862150452933,0.9103746663757072,False
other_gender,2,2,0,,0.8751148444677779,,False
other_sexual_orientation,2,1,1,1.0,0.7960094512995537,0.9200067136623029,False
other_disability,2,1,1,1.0,0.999343659753216,0.9986908358509566,False
