subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8927,7749,1178,0.9090559031550376,0.925942795850135,0.9313328571529645,True
male,7404,6293,1111,0.9115361559992008,0.9174725338961124,0.9386462432086176,True
christian,6594,5976,618,0.9138947916802052,0.9418847962434894,0.9146349193987302,True
white,4155,3022,1133,0.8402021539016906,0.8306522545224424,0.9534481617560255,True
muslim,3422,2612,810,0.8545809464390373,0.850218621107052,0.9486734825892964,True
black,2477,1700,777,0.8238223938223939,0.8220613167804391,0.9491993591698158,True
homosexual_gay_or_lesbian,1838,1336,502,0.8283415738244626,0.8280192635664458,0.9474543751340249,True
jewish,1271,1066,205,0.8732256440763282,0.8978948604409991,0.9273918090629252,True
psychiatric_or_mental_illness,813,650,163,0.9153846153846154,0.9093602467811159,0.9440282297494011,True
asian,764,673,91,0.9381398690462585,0.9220960913826618,0.9507513858450912,False
transgender,404,327,77,0.8160768894713848,0.8709364156037099,0.9185122687755422,False
latino,351,280,71,0.8581991951710262,0.8881659758497994,0.9261004552805441,False
atheist,256,226,30,0.9095870206489677,0.9206402606473972,0.9329539774801336,False
heterosexual,230,167,63,0.7982130976142953,0.8496356942018558,0.9223965705266408,False
buddhist,99,84,15,0.8325396825396825,0.9086805816487563,0.8972850171717341,False
hindu,92,78,14,0.8740842490842491,0.9020962929246952,0.9159874292052502,False
other_race_or_ethnicity,77,61,16,0.9139344262295082,0.8786814091935237,0.958178973454301,False
other_religion,56,51,5,0.819607843137255,0.9277955469027642,0.8553939190324207,False
bisexual,47,36,11,0.845959595959596,0.9055289023250379,0.910006946617913,False
intellectual_or_learning_disability,16,14,2,0.6785714285714286,0.97554811605619,0.6813252304128125,False
physical_disability,12,10,2,0.65,0.8498949717736642,0.8492219368484665,False
other_sexual_orientation,3,2,1,1.0,0.8893738514045681,0.9582571040131589,False
other_gender,1,0,1,,,0.9585186552760109,False
