subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8789,7586,1203,0.8962335241954872,0.9386378771138328,0.896914467685324,True
male,7217,6139,1078,0.9004217689089585,0.9295535056369661,0.908530950169549,True
christian,6783,6161,622,0.9189846044327167,0.9471779555766208,0.8965157653780452,True
white,4101,2954,1147,0.8164116570323572,0.7915661956760982,0.9511987921264359,True
muslim,3528,2736,792,0.84863183184181,0.8714299656849268,0.9257785547443829,True
black,2477,1723,754,0.8023695639121821,0.7753092452526316,0.9501182603562568,True
homosexual_gay_or_lesbian,1818,1310,508,0.8028430606479533,0.8112822194621601,0.9356806008364122,True
jewish,1255,1063,192,0.8544679954531201,0.9121358203225094,0.8897416357644942,True
psychiatric_or_mental_illness,791,629,162,0.90703939233351,0.8755663898561611,0.9495351627354499,True
asian,763,663,100,0.9081900452488688,0.903517524333027,0.9344159679554636,True
transgender,425,333,92,0.8418853636244941,0.8724421910950408,0.9167953935704306,False
latino,330,273,57,0.8765503502345607,0.862395164563903,0.9416739435761454,False
heterosexual,243,176,67,0.79922829036635,0.8528719815340909,0.9102076939601296,False
atheist,222,196,26,0.9527080062794349,0.9358159502441831,0.9389929469368722,False
buddhist,116,101,15,0.9254125412541254,0.9278936047208087,0.9246872898453261,False
hindu,109,93,16,0.8689516129032258,0.9286338584514602,0.8785968388582571,False
other_race_or_ethnicity,90,74,16,0.9079391891891893,0.8607288730266501,0.9633499000117632,False
other_religion,54,47,7,0.8601823708206687,0.9557613398776847,0.8637057335784113,False
bisexual,46,37,9,0.8348348348348349,0.8936072735021486,0.900519876991058,False
intellectual_or_learning_disability,19,17,2,1.0,0.9600969966560868,0.9652600564099121,False
physical_disability,11,10,1,1.0,0.9387962719873982,0.9953584797972167,False
other_gender,2,2,0,,0.99225620160126,,False
other_sexual_orientation,2,1,1,1.0,0.9236019952743502,0.9510909701242027,False
other_disability,1,1,0,,0.9997374983593648,,False
