subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8789,7586,1203,0.9050041650421796,0.9192459198530172,0.9324219901891263,True
male,7217,6139,1078,0.9077707657571759,0.9084031684166228,0.9411344995656693,True
christian,6783,6161,622,0.9219660962459116,0.9341979335545224,0.9269376421273628,True
white,4101,2954,1147,0.8320213928301377,0.8051755994051351,0.9573777802213228,True
muslim,3528,2736,792,0.8573959164008508,0.8344882869617283,0.9548396045955198,True
black,2477,1723,754,0.8147862204439545,0.7978928671218707,0.9525235592344304,True
homosexual_gay_or_lesbian,1818,1310,508,0.8266168780429163,0.7989971992644447,0.9553874970829346,True
jewish,1255,1063,192,0.8615871942615239,0.890672536615722,0.9222910489792315,True
psychiatric_or_mental_illness,791,629,162,0.9210877544210878,0.9055920611505969,0.9471946417173043,True
asian,763,663,100,0.9137782805429864,0.9225748265279491,0.9309343494348077,True
transgender,425,333,92,0.8581244287766027,0.8291278524439146,0.9527517531320082,False
latino,330,273,57,0.8988175567122936,0.8772666106704722,0.9518378041955228,False
heterosexual,243,176,67,0.8162737449118046,0.8266022245762712,0.9404703609299685,False
atheist,222,196,26,0.9477040816326531,0.915500850676106,0.9575287724820436,False
buddhist,116,101,15,0.9452145214521452,0.9065037421680097,0.959452477023089,False
hindu,109,93,16,0.8508064516129032,0.9007289143080194,0.907044277837547,False
other_race_or_ethnicity,90,74,16,0.9358108108108107,0.8870449431412208,0.964032067655906,False
other_religion,54,47,7,0.8905775075987843,0.9387095962701669,0.9072930714261718,False
bisexual,46,37,9,0.8888888888888888,0.8837429413644919,0.9431214265454491,False
intellectual_or_learning_disability,19,17,2,0.9705882352941176,0.979137224011306,0.8924937881942113,False
physical_disability,11,10,1,1.0,0.905841428196377,0.9959040472713233,False
other_gender,2,2,0,,0.9831342695891849,,False
other_sexual_orientation,2,1,1,1.0,0.958781832501969,0.9897784491440079,False
other_disability,1,1,0,,0.9983593647460296,,False
