subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8794,7620,1174,565,213,7407,609,0.02795275590551181,0.02448283992861591,0.03189837696085293,0.5187393526405452,0.49014372387012356,0.5472127468759942,0.7262210796915167,0.48126064735945484,0.5788934426229508,True,True
male,7346,6224,1122,564,221,6003,558,0.03550771208226221,0.031189192885187348,0.040399247791836373,0.49732620320855614,0.4681292452298385,0.526541407593442,0.7184713375796178,0.5026737967914439,0.5915049816465653,True,True
christian,6689,6023,666,246,112,5911,420,0.01859538435995351,0.015477859971942329,0.02232659537626209,0.6306306306306306,0.593324420212759,0.6664385396767945,0.6871508379888268,0.36936936936936937,0.48046874999999994,True,True
white,4218,3024,1194,591,210,2814,603,0.06944444444444445,0.06091958813039656,0.07906180276639596,0.5050251256281407,0.4766953143868744,0.5333227058708434,0.7378277153558053,0.4949748743718593,0.5924812030075188,True,True
muslim,3471,2651,820,364,139,2512,456,0.052433044134288946,0.0445771238658988,0.0615841905449025,0.5560975609756098,0.5219079718893601,0.5897639997199536,0.7236580516898609,0.44390243902439025,0.5502645502645502,True,True
black,2472,1657,815,407,133,1524,408,0.08026554013277007,0.06813323683822622,0.09433950093428772,0.5006134969325153,0.466363987503255,0.5348572501236724,0.7537037037037037,0.49938650306748467,0.6007380073800737,True,True
homosexual_gay_or_lesbian,1818,1319,499,222,105,1214,277,0.07960576194086429,0.06618898921833215,0.09546413814232117,0.5551102204408818,0.5112513100274154,0.5981271014683085,0.6788990825688074,0.44488977955911824,0.5375302663438256,True,True
jewish,1334,1124,210,74,40,1084,136,0.03558718861209965,0.02624198442456604,0.04809599824576544,0.6476190476190476,0.580884582004482,0.709049841104682,0.6491228070175439,0.3523809523809524,0.45679012345679015,True,True
psychiatric_or_mental_illness,838,690,148,92,28,662,56,0.04057971014492753,0.02822286901645751,0.05802371953765574,0.3783783783783784,0.30425405169196873,0.4586565507245193,0.7666666666666667,0.6216216216216216,0.6865671641791045,True,True
asian,780,686,94,42,20,666,52,0.029154518950437316,0.018951046964818134,0.04460190170202843,0.5531914893617021,0.4525698634332176,0.6496362986634265,0.6774193548387096,0.44680851063829785,0.5384615384615384,True,False
transgender,412,327,85,37,19,308,48,0.0581039755351682,0.037509787357943636,0.0889600298464682,0.5647058823529412,0.45877384107249547,0.6650422257280391,0.6607142857142857,0.43529411764705883,0.5248226950354609,True,False
latino,355,276,79,34,11,265,45,0.03985507246376811,0.022397773040736944,0.06994543775295681,0.569620253164557,0.4597219896855097,0.6730617656538177,0.7555555555555555,0.43037974683544306,0.5483870967741935,True,False
atheist,217,195,22,8,2,193,14,0.010256410256410256,0.00281719866017395,0.03661853505049643,0.6363636363636364,0.42951708090131013,0.8026679532963387,0.8,0.36363636363636365,0.5000000000000001,True,False
heterosexual,186,151,35,13,12,139,22,0.07947019867549669,0.04604266587121894,0.13376356324041996,0.6285714285714286,0.4633693684359532,0.7683418049663429,0.52,0.37142857142857144,0.43333333333333335,True,False
buddhist,94,80,14,6,4,76,8,0.05,0.0196135545355443,0.1216227620464301,0.5714285714285714,0.3259064457965074,0.7861920109552588,0.6,0.42857142857142855,0.5,False,False
other_race_or_ethnicity,89,71,18,6,3,68,12,0.04225352112676056,0.014473260620475326,0.11702416040484678,0.6666666666666666,0.437494672959451,0.8372122524916629,0.6666666666666666,0.3333333333333333,0.4444444444444444,False,False
hindu,81,71,10,3,2,69,7,0.028169014084507043,0.007759263582683522,0.09701500116649467,0.7,0.39677814746114537,0.8922087325936989,0.6,0.3,0.4,False,False
other_religion,45,42,3,0,0,42,3,0.0,0.0,0.08379879086570388,1.0,0.4385029682449546,1.0,,0.0,,False,False
bisexual,45,35,10,1,2,33,9,0.05714285714285714,0.015813161857108654,0.18607057420164919,0.9,0.5958499732047616,0.982123786904927,0.3333333333333333,0.1,0.15384615384615383,False,False
physical_disability,15,14,1,0,1,13,1,0.07142857142857142,0.012722215247890911,0.31468704424151117,1.0,0.20654931437723745,1.0,0.0,0.0,,False,False
intellectual_or_learning_disability,14,13,1,0,0,13,1,0.0,1.3877787807814457e-17,0.2280953723541983,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_gender,2,1,1,0,0,1,1,0.0,0.0,0.7934506856227626,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_sexual_orientation,1,0,1,1,0,0,0,,,,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
