model,subgroup,policy,n_nontoxic_val,threshold,val_fpr_before,val_fpr_after,fitted
baseline,male,equalize,4095,0.6109758615493774,0.05030525030525031,0.033455433455433455,True
baseline,female,equalize,5050,0.5932558178901672,0.04673267326732673,0.03346534653465347,True
baseline,transgender,equalize,216,0.7219392657279968,0.06481481481481481,0.032407407407407406,True
baseline,other_gender,equalize,0,,,,False
baseline,heterosexual,equalize,119,0.6865801811218262,0.06722689075630252,0.025210084033613446,True
baseline,homosexual_gay_or_lesbian,equalize,881,0.7540104985237122,0.10102156640181612,0.032917139614074914,True
baseline,bisexual,equalize,25,,,,False
baseline,other_sexual_orientation,equalize,1,,,,False
baseline,christian,equalize,4013,0.4631710648536682,0.02865686518813855,0.03339147769748318,True
baseline,jewish,equalize,732,0.641534686088562,0.05191256830601093,0.03278688524590164,True
baseline,muslim,equalize,1801,0.7126322984695435,0.0832870627429206,0.03331482509716824,True
baseline,hindu,equalize,49,,,,False
baseline,buddhist,equalize,50,,,,False
baseline,atheist,equalize,144,0.7671669721603394,0.05555555555555555,0.027777777777777776,True
baseline,other_religion,equalize,33,,,,False
baseline,black,equalize,1102,0.7794896960258484,0.09891107078039928,0.03357531760435572,True
baseline,white,equalize,1887,0.6935767531394958,0.08479067302596714,0.033386327503974564,True
baseline,asian,equalize,455,0.5981361269950867,0.041758241758241756,0.03296703296703297,True
baseline,latino,equalize,186,0.632729709148407,0.043010752688172046,0.03225806451612903,True
baseline,other_race_or_ethnicity,equalize,45,,,,False
baseline,physical_disability,equalize,8,,,,False
baseline,intellectual_or_learning_disability,equalize,11,,,,False
baseline,psychiatric_or_mental_illness,equalize,439,0.6687721014022827,0.05011389521640091,0.03189066059225513,True
baseline,other_disability,equalize,0,,,,False
baseline,male,cap,4095,0.6109758615493774,0.05030525030525031,0.033455433455433455,True
baseline,female,cap,5050,0.5932558178901672,0.04673267326732673,0.03346534653465347,True
baseline,transgender,cap,216,0.7219392657279968,0.06481481481481481,0.032407407407407406,True
baseline,other_gender,cap,0,,,,False
baseline,heterosexual,cap,119,0.6865801811218262,0.06722689075630252,0.025210084033613446,True
baseline,homosexual_gay_or_lesbian,cap,881,0.7540104985237122,0.10102156640181612,0.032917139614074914,True
baseline,bisexual,cap,25,,,,False
baseline,other_sexual_orientation,cap,1,,,,False
baseline,christian,cap,4013,0.5,0.02865686518813855,0.02865686518813855,True
baseline,jewish,cap,732,0.641534686088562,0.05191256830601093,0.03278688524590164,True
baseline,muslim,cap,1801,0.7126322984695435,0.0832870627429206,0.03331482509716824,True
baseline,hindu,cap,49,,,,False
baseline,buddhist,cap,50,,,,False
baseline,atheist,cap,144,0.7671669721603394,0.05555555555555555,0.027777777777777776,True
baseline,other_religion,cap,33,,,,False
baseline,black,cap,1102,0.7794896960258484,0.09891107078039928,0.03357531760435572,True
baseline,white,cap,1887,0.6935767531394958,0.08479067302596714,0.033386327503974564,True
baseline,asian,cap,455,0.5981361269950867,0.041758241758241756,0.03296703296703297,True
baseline,latino,cap,186,0.632729709148407,0.043010752688172046,0.03225806451612903,True
baseline,other_race_or_ethnicity,cap,45,,,,False
baseline,physical_disability,cap,8,,,,False
baseline,intellectual_or_learning_disability,cap,11,,,,False
baseline,psychiatric_or_mental_illness,cap,439,0.6687721014022827,0.05011389521640091,0.03189066059225513,True
baseline,other_disability,cap,0,,,,False
mitigated,male,equalize,4095,0.5572731494903564,0.02905982905982906,0.026373626373626374,True
mitigated,female,equalize,5050,0.4617751836776733,0.024950495049504952,0.026336633663366336,True
mitigated,transgender,equalize,216,0.9610249400138856,0.041666666666666664,0.023148148148148147,True
mitigated,other_gender,equalize,0,,,,False
mitigated,heterosexual,equalize,119,0.6271523237228394,0.03361344537815126,0.025210084033613446,True
mitigated,homosexual_gay_or_lesbian,equalize,881,0.7636600732803345,0.053348467650397274,0.026106696935300794,True
mitigated,bisexual,equalize,25,,,,False
mitigated,other_sexual_orientation,equalize,1,,,,False
mitigated,christian,equalize,4013,0.2391715943813324,0.01569897832045851,0.02616496386743085,True
mitigated,jewish,equalize,732,0.560403048992157,0.028688524590163935,0.025956284153005466,True
mitigated,muslim,equalize,1801,0.7854732275009155,0.04553026096612993,0.02609661299278179,True
mitigated,hindu,equalize,49,,,,False
mitigated,buddhist,equalize,50,,,,False
mitigated,atheist,equalize,144,0.7859664559364319,0.034722222222222224,0.020833333333333332,True
mitigated,other_religion,equalize,33,,,,False
mitigated,black,equalize,1102,0.8740772008895874,0.05535390199637023,0.02631578947368421,True
mitigated,white,equalize,1887,0.8053261041641235,0.05087440381558029,0.025967143614202437,True
mitigated,asian,equalize,455,0.5609142184257507,0.02857142857142857,0.026373626373626374,True
mitigated,latino,equalize,186,0.8740772008895874,0.043010752688172046,0.021505376344086023,True
mitigated,other_race_or_ethnicity,equalize,45,,,,False
mitigated,physical_disability,equalize,8,,,,False
mitigated,intellectual_or_learning_disability,equalize,11,,,,False
mitigated,psychiatric_or_mental_illness,equalize,439,0.7396105527877808,0.03416856492027335,0.025056947608200455,True
mitigated,other_disability,equalize,0,,,,False
mitigated,male,cap,4095,0.5572731494903564,0.02905982905982906,0.026373626373626374,True
mitigated,female,cap,5050,0.5,0.024950495049504952,0.024950495049504952,True
mitigated,transgender,cap,216,0.9610249400138856,0.041666666666666664,0.023148148148148147,True
mitigated,other_gender,cap,0,,,,False
mitigated,heterosexual,cap,119,0.6271523237228394,0.03361344537815126,0.025210084033613446,True
mitigated,homosexual_gay_or_lesbian,cap,881,0.7636600732803345,0.053348467650397274,0.026106696935300794,True
mitigated,bisexual,cap,25,,,,False
mitigated,other_sexual_orientation,cap,1,,,,False
mitigated,christian,cap,4013,0.5,0.01569897832045851,0.01569897832045851,True
mitigated,jewish,cap,732,0.560403048992157,0.028688524590163935,0.025956284153005466,True
mitigated,muslim,cap,1801,0.7854732275009155,0.04553026096612993,0.02609661299278179,True
mitigated,hindu,cap,49,,,,False
mitigated,buddhist,cap,50,,,,False
mitigated,atheist,cap,144,0.7859664559364319,0.034722222222222224,0.020833333333333332,True
mitigated,other_religion,cap,33,,,,False
mitigated,black,cap,1102,0.8740772008895874,0.05535390199637023,0.02631578947368421,True
mitigated,white,cap,1887,0.8053261041641235,0.05087440381558029,0.025967143614202437,True
mitigated,asian,cap,455,0.5609142184257507,0.02857142857142857,0.026373626373626374,True
mitigated,latino,cap,186,0.8740772008895874,0.043010752688172046,0.021505376344086023,True
mitigated,other_race_or_ethnicity,cap,45,,,,False
mitigated,physical_disability,cap,8,,,,False
mitigated,intellectual_or_learning_disability,cap,11,,,,False
