model,threshold,macro_f1,global_fpr,global_fnr,fpr_gap,macro_fpr,macro_fnr,degenerate
baseline,0.3,0.7998210849264988,0.06773971568117353,0.26158288489303055,0.23115549537350488,0.15601695155595088,0.26924462706760005,False
baseline,0.4,0.8074266628410312,0.04900891223712257,0.31880824255151596,0.15601383373895222,0.10963812617487366,0.34179673015578904,False
baseline,0.5,0.8056804200002454,0.03623638408217385,0.37734610841317756,0.12511284134506884,0.08152520957493319,0.41396959983700277,False
baseline,0.6,0.7994362879859647,0.025662543428274114,0.4362777267357921,0.08575942225231324,0.05349644129105841,0.48210270302583935,False
baseline,0.7,0.7867907400670135,0.01774055487487622,0.49639060244126526,0.06547619047619048,0.0342330984707563,0.5502240096446885,False
mitigated,0.3,0.8026671279935099,0.04399053389503365,0.3530647066544166,0.18746405980448533,0.08204994170196074,0.42449885100231377,False
mitigated,0.4,0.799007145303624,0.03304744801195012,0.4075337970862318,0.1339850488786659,0.05793273780310176,0.48554544917765075,False
mitigated,0.5,0.7931416249168411,0.024672294859099376,0.4551778448615304,0.09523809523809523,0.042392041846470004,0.5415220595665207,False
mitigated,0.6,0.7834059862252236,0.01829442271865192,0.5017718860742879,0.06547619047619048,0.02995549549063877,0.5946885442484597,False
mitigated,0.7,0.7708587522642938,0.013343179872778235,0.5465284158025988,0.03860711582134747,0.019757958496265753,0.6445483543917798,False
