subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8709,7555,1154,0.9006602075822936,0.9113439110866792,0.930965726308956,True
male,7282,6173,1109,0.9016629327781751,0.9053299600385505,0.9358169611912124,True
christian,6671,6068,603,0.9102310355495651,0.9322612679634609,0.9150296053354342,True
white,4216,3037,1179,0.8450285048160613,0.8245200242557116,0.9515403243206788,True
muslim,3556,2724,832,0.8521182349909635,0.8573235478468273,0.937990656129886,True
black,2470,1692,778,0.8406089901365565,0.8053419481273907,0.9538635703885209,True
homosexual_gay_or_lesbian,1851,1333,518,0.8289724458141562,0.8178213754959653,0.9482239832981489,True
jewish,1214,1029,185,0.8383894098179813,0.8851731322453268,0.9106754725760055,True
psychiatric_or_mental_illness,792,628,164,0.9120854046916265,0.8852448021462106,0.9506481082697955,True
asian,772,674,98,0.8991022224913704,0.917256508679752,0.9211827498412406,False
transgender,390,317,73,0.8596646644483817,0.8506781958143576,0.939301204362555,False
latino,360,296,64,0.8706186655405405,0.8833457795982614,0.9304139959517584,False
atheist,255,220,35,0.9246103896103895,0.9294870181242808,0.9259882029326614,False
heterosexual,207,155,52,0.7971464019851117,0.8361173516585172,0.9278613155598819,False
buddhist,100,91,9,0.8827838827838828,0.918334753288761,0.9128042061224109,False
hindu,81,76,5,0.894736842105263,0.907356427909806,0.9306058314427359,False
other_race_or_ethnicity,77,59,18,0.9086629001883239,0.9065377213970508,0.93352504582806,False
other_religion,65,57,8,0.8333333333333334,0.8683588158413377,0.9213080018143942,False
bisexual,52,42,10,0.8785714285714286,0.8333614954721539,0.9621416214582038,False
intellectual_or_learning_disability,24,21,3,1.0,0.9700880352140857,0.9592175957018134,False
physical_disability,14,14,0,,0.9206495040594004,,False
other_sexual_orientation,4,2,2,1.0,0.8503347774714454,0.9827875593749474,False
other_gender,2,2,0,,0.8571006693791836,,False
other_disability,1,0,1,,,0.9969117671740991,False
