subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8709,7555,1154,0.904564906457211,0.9305872838677745,0.9094465981913723,True
male,7282,6173,1109,0.9057661443994521,0.9199787962195011,0.9216945070859319,True
christian,6671,6068,603,0.9104427051733206,0.9443153031323451,0.8920670506157755,True
white,4216,3037,1179,0.8468052905876994,0.8456876576058836,0.9404331567859154,True
muslim,3556,2724,832,0.8521188968428781,0.8710209950481909,0.9273885475673789,True
black,2470,1692,778,0.8414560125678376,0.8383047492469097,0.9389382108415002,True
homosexual_gay_or_lesbian,1851,1333,518,0.8356835830579267,0.840239104981146,0.9373347334178609,True
jewish,1214,1029,185,0.8460299950095869,0.9022070606173981,0.8905867457155202,True
psychiatric_or_mental_illness,792,628,164,0.9154157604474134,0.8968032184615122,0.9440681456455804,True
asian,772,674,98,0.8975201356506994,0.929484190064062,0.9015105269703921,False
transgender,390,317,73,0.8594702043991184,0.8727221725676629,0.9212487102059231,False
latino,360,296,64,0.850269214527027,0.8998499740640706,0.9009426130134098,False
atheist,255,220,35,0.9185064935064935,0.9353594289413119,0.9127527212431443,False
heterosexual,207,155,52,0.8071339950372208,0.8561717474432702,0.9169437296288339,False
buddhist,100,91,9,0.9462759462759462,0.936149658488686,0.933719952933266,False
hindu,81,76,5,0.9236842105263158,0.9223011972405403,0.9304411394000506,False
other_race_or_ethnicity,77,59,18,0.8653483992467044,0.9157659897560312,0.8926568701021844,False
other_religion,65,57,8,0.8245614035087719,0.8820105710340758,0.8900821517371144,False
bisexual,52,42,10,0.8928571428571428,0.8763822916471097,0.9487873494684157,False
intellectual_or_learning_disability,24,21,3,1.0,0.9860256602641055,0.9587306917394224,False
physical_disability,14,14,0,,0.9275261095381846,,False
other_sexual_orientation,4,2,2,1.0,0.8820401732965735,0.9590627570116987,False
other_gender,2,2,0,,0.908682241764011,,False
other_disability,1,0,1,,,0.9866064685050604,False
