subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8709,7555,1154,0.8940841110882987,0.9060864923021329,0.9249822162642184,True
male,7282,6173,1109,0.8964754157149353,0.8858328462261824,0.9403242274386643,True
christian,6671,6068,603,0.9062988179296879,0.923653200820199,0.9146837864818514,True
white,4216,3037,1179,0.8315386735771959,0.7626709761799094,0.9628176176490778,True
muslim,3556,2724,832,0.8313356436377499,0.8826037760709935,0.9064339445214107,True
black,2470,1692,778,0.8214670428509786,0.8309395478451265,0.9326672009160693,True
homosexual_gay_or_lesbian,1851,1333,518,0.817627669465629,0.8391146160008528,0.9274021173743053,True
jewish,1214,1029,185,0.8333674782654374,0.8850070448256938,0.9005531696473082,True
psychiatric_or_mental_illness,792,628,164,0.8889428305111076,0.888596761033291,0.93050240931904,True
asian,772,674,98,0.8984814994246957,0.8930056178999495,0.9319032109762777,False
transgender,390,317,73,0.8205133745300548,0.8823978442210593,0.8954018610018047,False
latino,360,296,64,0.8520639780405405,0.8631754520900783,0.9269836647128279,False
atheist,255,220,35,0.9136363636363637,0.8966214758342922,0.9404329923205954,False
heterosexual,207,155,52,0.780272952853598,0.8001914083648438,0.9329887332403066,False
buddhist,100,91,9,0.8766788766788767,0.903910412846024,0.9105853458097531,False
hindu,81,76,5,0.9184210526315789,0.8927192636832427,0.9460717586757416,False
other_race_or_ethnicity,77,59,18,0.8455743879472694,0.8970942717171468,0.8991386004801212,False
other_religion,65,57,8,0.8267543859649124,0.8852918329195739,0.8847009189570594,False
bisexual,52,42,10,0.8333333333333334,0.8126795336349811,0.954441626496918,False
intellectual_or_learning_disability,24,21,3,1.0,0.9633884803921567,0.9713202372957241,False
physical_disability,14,14,0,,0.9176213601335008,,False
other_sexual_orientation,4,2,2,1.0,0.898089799133517,0.9860815052283521,False
other_gender,2,2,0,,0.8370849192807455,,False
other_disability,1,0,1,,,0.9944109699400816,False
