subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8765,7565,1200,0.8980067746199603,0.9337211683712855,0.9064978884702142,True
male,7296,6187,1109,0.9053037849658006,0.9236871225703167,0.9207483318203452,True
christian,6738,6130,608,0.9138027764660428,0.9439349793600966,0.9000669052275128,True
white,4146,2986,1160,0.8405377393352889,0.833759121760039,0.9439826002053308,True
muslim,3480,2676,804,0.8555979909867701,0.8713711839815232,0.9303448380625647,True
black,2427,1669,758,0.8172032768899267,0.821461322753305,0.9391842153557703,True
homosexual_gay_or_lesbian,1759,1274,485,0.8326975675282009,0.8490908396741631,0.9307316640201112,True
jewish,1290,1091,199,0.8915844115167957,0.9074972020525693,0.9228343375279544,True
psychiatric_or_mental_illness,785,643,142,0.898741594199724,0.892403682334483,0.9360421239985298,True
asian,750,647,103,0.8787533200282109,0.9234845107356753,0.8955599006425157,True
transgender,413,330,83,0.8150237312887916,0.8744549395226147,0.9040651644738648,False
latino,325,257,68,0.8914511329823759,0.913495880412675,0.9154427877617233,False
atheist,258,216,42,0.8777006172839507,0.9279080453027925,0.8951574801570591,False
heterosexual,219,171,48,0.8318104288499026,0.8826825351583953,0.9083028250014027,False
buddhist,131,117,14,0.9487179487179487,0.9100659147996426,0.9551415262055312,False
hindu,111,99,12,0.9208754208754208,0.9029236760931254,0.9469293231565852,False
other_race_or_ethnicity,74,60,14,0.9142857142857143,0.859083936007013,0.964327716268208,False
other_religion,45,40,5,0.89,0.9230759127922249,0.9264103726843689,False
bisexual,40,35,5,0.8457142857142856,0.8838868250215768,0.9133543814865819,False
physical_disability,18,18,0,,0.9459465371658574,,False
intellectual_or_learning_disability,10,10,0,,0.9274707966924792,,False
other_gender,2,1,1,1.0,0.9805066946705172,0.883291372943941,False
other_sexual_orientation,1,1,0,,0.9665966662291638,,False
other_disability,1,1,0,,0.9843155269720436,,False
