subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8765,7565,1200,0.8980634500991409,0.9337769759246008,0.9064736251025326,True
male,7296,6187,1109,0.9052559811921299,0.9238330605995376,0.9205820196478715,True
christian,6738,6130,608,0.9138022398471709,0.9439781764521517,0.9000419500053664,True
white,4146,2986,1160,0.8405091576783612,0.8337202864541934,0.9440008255877362,True
muslim,3480,2676,804,0.8557718228736735,0.8713339792750319,0.9304074260102704,True
black,2427,1669,758,0.8169910410385882,0.8214029872826054,0.9391809121910379,True
homosexual_gay_or_lesbian,1759,1274,485,0.8328764019485668,0.8492415760378035,0.93067414762847,True
jewish,1290,1091,199,0.8915705935728138,0.9076076375935429,0.9227824882662586,True
psychiatric_or_mental_illness,785,643,142,0.8986539767375638,0.8929201443264788,0.9354019788758682,True
asian,750,647,103,0.8787458171395988,0.9236356566064524,0.8951655974545824,True
transgender,413,330,83,0.815899963490325,0.8749746670526926,0.904106849500583,False
latino,325,257,68,0.8899347676813916,0.9130934290147361,0.914725639261166,False
atheist,258,216,42,0.876818783068783,0.9280235263638985,0.8940290695575797,False
heterosexual,219,171,48,0.8318713450292398,0.8835275570602198,0.9077287774224317,False
buddhist,131,117,14,0.9462759462759464,0.9102092078423439,0.9539445234571697,False
hindu,111,99,12,0.922979797979798,0.9032722386212594,0.9477643096510989,False
other_race_or_ethnicity,74,60,14,0.9130952380952381,0.8592866535174227,0.9645695276817066,False
other_religion,45,40,5,0.8900000000000001,0.9230430785395323,0.9265497724257235,False
bisexual,40,35,5,0.8514285714285714,0.8850350857443054,0.9142007859469989,False
physical_disability,18,18,0,,0.9459684123025769,,False
intellectual_or_learning_disability,10,10,0,,0.9284879905499408,,False
other_gender,2,1,1,1.0,0.9807035967445524,0.8790281973816717,False
other_sexual_orientation,1,1,0,,0.9661372883580522,,False
other_disability,1,1,0,,0.9830686441790262,,False
