model,subgroup,policy,n_nontoxic_val,threshold,val_fpr_before,val_fpr_after,fitted
baseline,male,equalize,4140,0.6241790056228638,0.06086956521739131,0.03743961352657005,True
baseline,female,equalize,4918,0.5811247825622559,0.05063033753558357,0.03741358275721838,True
baseline,transgender,equalize,190,0.6767266988754272,0.07894736842105263,0.03684210526315789,True
baseline,other_gender,equalize,1,,,,False
baseline,heterosexual,equalize,105,0.793906033039093,0.14285714285714285,0.02857142857142857,True
baseline,homosexual_gay_or_lesbian,equalize,839,0.793906033039093,0.13468414779499405,0.03694874851013111,True
baseline,bisexual,equalize,22,,,,False
baseline,other_sexual_orientation,equalize,0,,,,False
baseline,christian,equalize,4126,0.48410564661026,0.03538536112457586,0.03756665050896752,True
baseline,jewish,equalize,704,0.6101630926132202,0.06392045454545454,0.036931818181818184,True
baseline,muslim,equalize,1794,0.7794896960258484,0.10367892976588629,0.037346711259754736,True
baseline,hindu,equalize,56,,,,False
baseline,buddhist,equalize,53,,,,False
baseline,atheist,equalize,168,0.5745141506195068,0.047619047619047616,0.03571428571428571,True
baseline,other_religion,equalize,36,,,,False
baseline,black,equalize,1136,0.8237541317939758,0.1505281690140845,0.03697183098591549,True
baseline,white,equalize,2020,0.7500038743019104,0.10891089108910891,0.03712871287128713,True
baseline,asian,equalize,452,0.5494592785835266,0.04424778761061947,0.03761061946902655,True
baseline,latino,equalize,183,0.7521946430206299,0.10382513661202186,0.03278688524590164,True
baseline,other_race_or_ethnicity,equalize,41,,,,False
baseline,physical_disability,equalize,6,,,,False
baseline,intellectual_or_learning_disability,equalize,11,,,,False
baseline,psychiatric_or_mental_illness,equalize,437,0.5930202007293701,0.04576659038901602,0.036613272311212815,True
baseline,other_disability,equalize,0,,,,False
baseline,male,cap,4140,0.6241790056228638,0.06086956521739131,0.03743961352657005,True
baseline,female,cap,4918,0.5811247825622559,0.05063033753558357,0.03741358275721838,True
baseline,transgender,cap,190,0.6767266988754272,0.07894736842105263,0.03684210526315789,True
baseline,other_gender,cap,1,,,,False
baseline,heterosexual,cap,105,0.793906033039093,0.14285714285714285,0.02857142857142857,True
baseline,homosexual_gay_or_lesbian,cap,839,0.793906033039093,0.13468414779499405,0.03694874851013111,True
baseline,bisexual,cap,22,,,,False
baseline,other_sexual_orientation,cap,0,,,,False
baseline,christian,cap,4126,0.5,0.03538536112457586,0.03538536112457586,True
baseline,jewish,cap,704,0.6101630926132202,0.06392045454545454,0.036931818181818184,True
baseline,muslim,cap,1794,0.7794896960258484,0.10367892976588629,0.037346711259754736,True
baseline,hindu,cap,56,,,,False
baseline,buddhist,cap,53,,,,False
baseline,atheist,cap,168,0.5745141506195068,0.047619047619047616,0.03571428571428571,True
baseline,other_religion,cap,36,,,,False
baseline,black,cap,1136,0.8237541317939758,0.1505281690140845,0.03697183098591549,True
baseline,white,cap,2020,0.7500038743019104,0.10891089108910891,0.03712871287128713,True
baseline,asian,cap,452,0.5494592785835266,0.04424778761061947,0.03761061946902655,True
baseline,latino,cap,183,0.7521946430206299,0.10382513661202186,0.03278688524590164,True
baseline,other_race_or_ethnicity,cap,41,,,,False
baseline,physical_disability,cap,6,,,,False
baseline,intellectual_or_learning_disability,cap,11,,,,False
baseline,psychiatric_or_mental_illness,cap,437,0.5930202007293701,0.04576659038901602,0.036613272311212815,True
baseline,other_disability,cap,0,,,,False
mitigated,male,equalize,4140,0.6493563055992126,0.057729468599033815,0.034057971014492754,True
mitigated,female,equalize,4918,0.5429844260215759,0.03965026433509557,0.03416022773485156,True
mitigated,transgender,equalize,190,0.48410564661026,0.021052631578947368,0.031578947368421054,True
mitigated,other_gender,equalize,1,,,,False
