subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8939,7693,1246,0.9081135546917952,0.9174142387753123,0.9328063262198517,True
male,7287,6233,1054,0.9136215211256973,0.8933999671795783,0.9512786616507786,True
christian,6625,5999,626,0.919505886763875,0.9312769893700049,0.9263511851233242,True
white,4074,2908,1166,0.8330081327667688,0.7587750949570602,0.9671524679861984,True
muslim,3529,2729,800,0.8436634298277758,0.8718367207441153,0.9294722041440935,True
black,2519,1739,780,0.8087240677666211,0.8293515163220515,0.9362176051649098,True
homosexual_gay_or_lesbian,1835,1321,514,0.826217168340221,0.8443078063928069,0.9344290354121668,True
jewish,1266,1061,205,0.8559320475391371,0.8866397525429512,0.9213765566910626,True
psychiatric_or_mental_illness,818,654,164,0.9015066756172149,0.9079198944943874,0.9319092411569999,True
asian,724,631,93,0.8849070429255492,0.8961076508989649,0.9301492060886298,False
transgender,417,329,88,0.8293727549046699,0.8837165047086025,0.9057901958046679,False
latino,328,249,79,0.8641909409791063,0.8568068028080491,0.9417831818721002,False
atheist,243,211,32,0.9542357819905214,0.9007041228541962,0.9628168687889507,False
heterosexual,215,168,47,0.7367021276595743,0.7684557612004126,0.9329849724843513,False
hindu,104,94,10,0.8930851063829788,0.9011165389250692,0.9306722477179888,False
buddhist,100,88,12,0.9374999999999999,0.8940068656859114,0.956376520487004,False
other_race_or_ethnicity,77,57,20,0.9122807017543859,0.8820874399447757,0.9503359989248035,False
bisexual,45,35,10,0.84,0.8120120909449338,0.9528347831928257,False
other_religion,44,42,2,0.9761904761904763,0.9161868502159956,0.9727909437511548,False
physical_disability,16,14,2,1.0,0.8707637052457848,0.9783353198918864,False
intellectual_or_learning_disability,15,11,4,0.8181818181818181,0.965039097475079,0.8331794527446701,False
other_sexual_orientation,2,2,0,,0.8840070875442971,,False
other_gender,1,1,0,,0.7998424990156189,,False
