subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8709,7555,1154,0.9009579662486651,0.929048283712686,0.9112251799710063,True
male,7282,6173,1109,0.902671133796689,0.9229984872927867,0.9182714983513612,True
christian,6671,6068,603,0.9116090061667055,0.9446298563073461,0.8952299806940791,True
white,4216,3037,1179,0.8481642719716653,0.8489388126154243,0.9399546325216857,True
muslim,3556,2724,832,0.8537364629221733,0.873561023092649,0.9274148132764926,True
black,2470,1692,778,0.8377017660607606,0.8302146648821267,0.9413060634924004,True
homosexual_gay_or_lesbian,1851,1333,518,0.8280158842799503,0.8401679000231681,0.934771253683491,True
jewish,1214,1029,185,0.8492212328947023,0.9030680222432952,0.8966842594062843,True
psychiatric_or_mental_illness,792,628,164,0.9054149836880534,0.8934898136163051,0.9410070051669932,True
asian,772,674,98,0.8986101859141282,0.9238567224432322,0.910912583411486,False
transgender,390,317,73,0.8528585627241693,0.8746671309762792,0.9200831570460665,False
latino,360,296,64,0.8669235641891891,0.8958882608617884,0.9172449555115122,False
atheist,255,220,35,0.9178571428571429,0.941083501150748,0.9069422684927814,False
heterosexual,207,155,52,0.7942307692307693,0.8576143441172835,0.9114672999904212,False
buddhist,100,91,9,0.9084249084249084,0.9353785504902455,0.8999850581797127,False
hindu,81,76,5,0.9,0.9213144415412053,0.9246617931266281,False
other_race_or_ethnicity,77,59,18,0.8954802259887006,0.9120231726869122,0.9202708429002909,False
other_religion,65,57,8,0.8640350877192984,0.8907767381928742,0.9103208369733217,False
bisexual,52,42,10,0.8809523809523809,0.8480840358222406,0.9517979811552091,False
intellectual_or_learning_disability,24,21,3,0.9682539682539683,0.9583739745898361,0.9559463845981643,False
physical_disability,14,14,0,,0.931519884499278,,False
other_sexual_orientation,4,2,2,1.0,0.8558159380333464,0.9870843753671595,False
other_gender,2,2,0,,0.8615960099750624,,False
other_disability,1,0,1,,,0.9973984995216595,False
