subgroup,n,n_toxic,n_nontoxic,toxic_rate,test_n,test_n_nontoxic,test_n_toxic
female,58584,8003,50581,0.1366,8927,7749,1178
male,48870,7355,41515,0.1505,7404,6293,1111
christian,44649,4090,40559,0.0916,6594,5976,618
white,27534,7780,19754,0.2826,4155,3022,1133
muslim,23046,5264,17782,0.2284,3422,2612,810
black,16420,5181,11239,0.3155,2477,1700,777
homosexual_gay_or_lesbian,12062,3411,8651,0.2828,1838,1336,502
jewish,8486,1378,7108,0.1624,1271,1066,205
psychiatric_or_mental_illness,5400,1136,4264,0.2104,813,650,163
asian,5032,612,4420,0.1216,764,673,91
transgender,2759,583,2176,0.2113,404,327,77
latino,2229,439,1790,0.1969,351,280,71
atheist,1692,206,1486,0.1217,256,226,30
heterosexual,1432,323,1109,0.2256,230,167,63
buddhist,641,76,565,0.1186,99,84,15
hindu,631,66,565,0.1046,92,78,14
other_race_or_ethnicity,549,102,447,0.1858,77,61,16
other_religion,354,48,306,0.1356,56,51,5
bisexual,321,69,252,0.215,47,36,11
intellectual_or_learning_disability,117,7,110,0.0598,16,14,2
physical_disability,91,7,84,0.0769,12,10,2
other_sexual_orientation,11,3,8,0.2727,3,2,1
other_gender,10,3,7,0.3,1,0,1
other_disability,5,1,4,0.2,0,0,0
