subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8765,7565,1200,0.9045449438202248,0.9236826148248132,0.9313820747462319,True
male,7296,6187,1109,0.9110794427304234,0.9150688835939388,0.9407778363563205,True
christian,6738,6130,608,0.9212180443461836,0.9432340765839186,0.9192098376624336,True
white,4146,2986,1160,0.8422441219945955,0.81089153003535,0.9590991878166404,True
muslim,3480,2676,804,0.8649937439112361,0.8496782080765742,0.95256272892632,True
black,2427,1669,758,0.8281023980675076,0.8004106887000089,0.9561852853077784,True
homosexual_gay_or_lesbian,1759,1274,485,0.8459070384696306,0.8375572523115475,0.9469005065438377,True
jewish,1290,1091,199,0.899944267625939,0.8955638636133421,0.9436843561283937,True
psychiatric_or_mental_illness,785,643,142,0.9050500514752591,0.8895173815564205,0.9494953278666194,True
asian,750,647,103,0.8964526342641916,0.9259027418477881,0.918204369475678,True
transgender,413,330,83,0.8292442497261774,0.872598195329087,0.9232330581375984,False
latino,325,257,68,0.8976882581826505,0.90756500414561,0.9340760063380755,False
atheist,258,216,42,0.8930776014109347,0.9262665645056433,0.918065398483153,False
heterosexual,219,171,48,0.841374269005848,0.8673983753024971,0.928889812321158,False
buddhist,131,117,14,0.9432234432234432,0.9007659153615762,0.9617854019719014,False
hindu,111,99,12,0.92003367003367,0.8858095879260596,0.9595907165192831,False
other_race_or_ethnicity,74,60,14,0.9142857142857143,0.8602596975673898,0.9704798066468737,False
other_religion,45,40,5,0.905,0.9214325584449699,0.9461379553584924,False
bisexual,40,35,5,0.84,0.8727569514803557,0.9272142545259128,False
physical_disability,18,18,0,,0.9406965043531522,,False
intellectual_or_learning_disability,10,10,0,,0.9606641291508071,,False
other_gender,2,1,1,1.0,0.9810317668679444,0.8604817052702249,False
other_sexual_orientation,1,1,0,,0.9409371308570679,,False
other_disability,1,1,0,,0.9901561884761779,,False
