subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8794,7620,1174,519,154,7466,655,0.02020997375328084,0.01728377406903507,0.023619681295963008,0.5579216354344123,0.5293698337983291,0.5860956212351262,0.7711738484398217,0.44207836456558774,0.5619924201407688,True,True
male,7346,6224,1122,514,157,6067,608,0.025224935732647814,0.021612337591123274,0.029423235636343036,0.5418894830659536,0.5126423840081912,0.5708507217604167,0.7660208643815202,0.45811051693404636,0.5733407696597881,True,True
christian,6689,6023,666,212,82,5941,454,0.013614477834965964,0.010982434839066142,0.016866557036279557,0.6816816816816816,0.6453480205271641,0.7159314983996862,0.7210884353741497,0.3183183183183183,0.44166666666666665,True,True
white,4218,3024,1194,525,132,2892,669,0.04365079365079365,0.03692921421530949,0.05153032452322636,0.5603015075376885,0.5319990123360617,0.5882172307565524,0.7990867579908676,0.4396984924623116,0.567260940032415,True,True
muslim,3471,2651,820,332,91,2560,488,0.034326669181440964,0.028042142940837875,0.041958820093409246,0.5951219512195122,0.5611564518575752,0.6282003695669128,0.7848699763593381,0.40487804878048783,0.5341914722445695,True,True
black,2472,1657,815,353,75,1582,462,0.045262522631261314,0.03626154683768275,0.056367077046701505,0.5668711656441717,0.5326170110055356,0.6004978903295569,0.8247663551401869,0.4331288343558282,0.5679806918744972,True,True
homosexual_gay_or_lesbian,1818,1319,499,182,60,1259,317,0.045489006823351025,0.03550265975470423,0.058115103730799235,0.6352705410821643,0.5921520475589921,0.6763222352032394,0.7520661157024794,0.36472945891783565,0.4912280701754385,True,True
jewish,1334,1124,210,60,20,1104,150,0.017793594306049824,0.011547746424771563,0.027324258570093685,0.7142857142857143,0.6497654334710847,0.7711071162035081,0.75,0.2857142857142857,0.4137931034482759,True,True
psychiatric_or_mental_illness,838,690,148,76,18,672,72,0.02608695652173913,0.01656387338518657,0.040857686416690506,0.4864864864864865,0.40732816117321685,0.5663285724286151,0.8085106382978723,0.5135135135135135,0.6280991735537189,True,True
asian,780,686,94,38,9,677,56,0.013119533527696793,0.006917310547916942,0.024744252469812947,0.5957446808510638,0.4946729927853779,0.6892980989885815,0.8085106382978723,0.40425531914893614,0.5390070921985816,True,False
transgender,412,327,85,33,13,314,52,0.039755351681957186,0.023378071142835927,0.06682059660293556,0.611764705882353,0.5054771123296355,0.7083870030531059,0.717391304347826,0.38823529411764707,0.5038167938931297,True,False
latino,355,276,79,27,12,264,52,0.043478260869565216,0.025043619560495882,0.07444649508521603,0.6582278481012658,0.5484909943250701,0.7532902678097645,0.6923076923076923,0.34177215189873417,0.4576271186440678,True,False
atheist,217,195,22,8,0,195,14,0.0,0.0,0.01931920457372107,0.6363636363636364,0.42951708090131013,0.8026679532963387,1.0,0.36363636363636365,0.5333333333333333,True,False
heterosexual,186,151,35,10,7,144,25,0.046357615894039736,0.0226344334523831,0.09258960897513287,0.7142857142857143,0.5494506513681738,0.836734637635653,0.5882352941176471,0.2857142857142857,0.3846153846153846,True,False
buddhist,94,80,14,4,3,77,10,0.0375,0.012834568919911422,0.10454720090045114,0.7142857142857143,0.45350915670106823,0.8827862135542308,0.5714285714285714,0.2857142857142857,0.38095238095238093,False,False
other_race_or_ethnicity,89,71,18,7,0,71,11,0.0,0.0,0.05132795219689032,0.6111111111111112,0.38619041602237913,0.7969475342783637,1.0,0.3888888888888889,0.56,False,False
hindu,81,71,10,1,1,70,9,0.014084507042253521,0.00249060327054422,0.07556050520249004,0.9,0.5958499732047616,0.982123786904927,0.5,0.1,0.16666666666666669,False,False
other_religion,45,42,3,0,0,42,3,0.0,0.0,0.08379879086570388,1.0,0.4385029682449546,1.0,,0.0,,False,False
bisexual,45,35,10,1,2,33,9,0.05714285714285714,0.015813161857108654,0.18607057420164919,0.9,0.5958499732047616,0.982123786904927,0.3333333333333333,0.1,0.15384615384615383,False,False
physical_disability,15,14,1,1,0,14,0,0.0,0.0,0.21531080273763575,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
intellectual_or_learning_disability,14,13,1,0,0,13,1,0.0,1.3877787807814457e-17,0.2280953723541983,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_gender,2,1,1,0,0,1,1,0.0,0.0,0.7934506856227626,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_sexual_orientation,1,0,1,1,0,0,0,,,,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
