subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8939,7693,1246,0.9123168922822629,0.9137180368343971,0.9417605192613897,True
male,7287,6233,1054,0.9185763264694771,0.9044850462412369,0.9508199198019407,True
christian,6625,5999,626,0.9235090832497642,0.9404124077402957,0.923809590817955,True
white,4074,2908,1166,0.8399017851033761,0.8092602611071358,0.9586678598135088,True
muslim,3529,2729,800,0.8534575393917186,0.85406491174644,0.9457277008724407,True
black,2519,1739,780,0.8261342357087038,0.815522061215565,0.951109288432946,True
homosexual_gay_or_lesbian,1835,1321,514,0.8322672954400185,0.8168459375188118,0.9509459640869256,True
jewish,1266,1061,205,0.8637525574124733,0.8920306921185104,0.9259145091109148,True
psychiatric_or_mental_illness,818,654,164,0.9065926381740881,0.9027521910258698,0.9423053720456935,True
asian,724,631,93,0.8943816778283319,0.9071737785502597,0.9326023511815188,False
transgender,417,329,88,0.8336384360320531,0.8826062003495986,0.9152880531842423,False
latino,328,249,79,0.8692999847491231,0.8634042802509775,0.9464825478939791,False
atheist,243,211,32,0.9588270142180095,0.9120933350074366,0.9611501494862724,False
heterosexual,215,168,47,0.7391717325227963,0.7704190564234146,0.9390755873687648,False
hindu,104,94,10,0.9063829787234042,0.9179848611526663,0.9332593675929195,False
buddhist,100,88,12,0.9526515151515151,0.906661179296581,0.9594258988452423,False
other_race_or_ethnicity,77,57,20,0.9359649122807017,0.8902302472855386,0.9656331899737921,False
bisexual,45,35,10,0.8228571428571428,0.8044458629818073,0.9614659255029725,False
other_religion,44,42,2,0.9642857142857143,0.9177357039704419,0.9651740875728515,False
physical_disability,16,14,2,1.0,0.8604531217764774,0.9835563315258449,False
intellectual_or_learning_disability,15,11,4,0.8636363636363636,0.9736047275114905,0.8632638072855465,False
other_sexual_orientation,2,2,0,,0.8945727785798662,,False
other_gender,1,1,0,,0.8568709804436279,,False
