subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8953,7736,1217,0.9058476775497754,0.9347190595654732,0.911044915898339,True
male,7242,6148,1094,0.9117310782537744,0.9299251166002337,0.9194769742051854,True
christian,6740,6091,649,0.9136578786200763,0.9477942736973219,0.8952734854462091,True
white,4096,2939,1157,0.8330665037849703,0.7986512139069573,0.955402591179275,True
muslim,3488,2680,808,0.8612436733412147,0.8800139754172903,0.9282878148098459,True
black,2448,1640,808,0.823349960758271,0.7819960358244018,0.9559866698644114,True
homosexual_gay_or_lesbian,1743,1250,493,0.8401460446247464,0.8152657872579288,0.9490000637405965,True
jewish,1277,1072,205,0.8442368947943211,0.9127500941139998,0.886927881430791,True
psychiatric_or_mental_illness,834,677,157,0.8983243797570774,0.8669061600934641,0.9498987773261209,True
asian,747,654,93,0.8924648975699582,0.9082689693059981,0.9223632995152924,False
transgender,401,318,83,0.82774494203228,0.8720489658027213,0.914427397252476,False
latino,305,242,63,0.8748524203069659,0.8660040841058937,0.9411304217333979,False
atheist,261,222,39,0.9241164241164243,0.9432595854429628,0.9135132123053079,False
heterosexual,207,160,47,0.8071143617021277,0.8578525323560486,0.9112223739225369,False
hindu,91,77,14,0.9081632653061223,0.9335442335442335,0.9044548025582915,False
buddhist,85,74,11,0.9201474201474201,0.9247547034416119,0.937785012305657,False
other_race_or_ethnicity,70,50,20,0.9039999999999999,0.8998631398868272,0.925246090272295,False
bisexual,56,50,6,0.8999999999999999,0.8893642453697622,0.9479486877985139,False
other_religion,54,48,6,0.9375,0.9449283571960244,0.909883314016316,False
intellectual_or_learning_disability,19,17,2,1.0,0.9540462896462248,0.9527818816734941,False
physical_disability,8,8,0,,0.9308144113400708,,False
other_gender,2,1,1,1.0,0.9951430821737989,0.9227928835179591,False
other_sexual_orientation,2,1,1,0.0,0.7310317668679444,0.8741524001342733,False
other_disability,1,0,1,,,0.9938738859703597,False
